,fipscode,dem_votes,gop_votes,total_votes,dem_percent,gop_percent,State,County,less_than_HighSchool,has_HighSchool,some_College,Undergrad_plus,Winner
64,39129,6061,12953,19014,0.31876512,0.68123488,OH,Pickaway County,12.9,43.3,26.5,17.3,GOP
65,39131,3190,5276,8466,0.376801323,0.623198677,OH,Pike County,21.9,40.7,25.2,12.3,GOP
66,39133,27602,28829,56431,0.489128316,0.510871684,OH,Portage County,8.1,37.2,27.4,27.3,GOP
67,39135,3621,11238,14859,0.243690693,0.756309307,OH,Preble County,11.2,44.8,30.5,13.5,GOP
68,39137,2637,11712,14349,0.183775873,0.816224127,OH,Putnam County,7.1,42.3,31.1,19.4,GOP
69,39139,14462,27898,42360,0.341406988,0.658593012,OH,Richland County,12.8,40.9,29.9,16.4,GOP
70,39141,8506,13631,22137,0.384243574,0.615756426,OH,Ross County,14.3,43.6,26.8,15.3,GOP
71,39143,8565,12196,20761,0.412552382,0.587447618,OH,Sandusky County,10.7,42.3,32.2,14.8,GOP
72,39145,8590,14133,22723,0.37803107,0.62196893,OH,Scioto County,15.9,40.6,28.5,15,GOP
73,39147,6370,11375,17745,0.358974359,0.641025641,OH,Seneca County,9.2,45.5,30.6,14.7,GOP
74,39149,3952,13641,17593,0.224634798,0.775365202,OH,Shelby County,9.3,43.4,30.2,17.1,GOP
75,39151,58534,73756,132290,0.442467307,0.557532693,OH,Stark County,9.6,37.9,29.9,22.6,GOP
76,39153,114223,86431,200654,0.569253541,0.430746459,OH,Summit County,9,32.1,28.1,30.7,DEM
77,39155,37789,33609,71398,0.529272529,0.470727471,OH,Trumbull County,11.1,45.2,25.7,18,DEM
78,39157,11438,19069,30507,0.374930344,0.625069656,OH,Tuscarawas County,14.1,46.4,24.5,15,GOP
79,39159,7406,15172,22578,0.328018425,0.671981575,OH,Union County,8.1,35.7,27.2,29.1,GOP
80,39161,2276,8063,10339,0.220137344,0.779862656,OH,Van Wert County,8.5,47.6,26.8,17.2,GOP
81,39163,1365,2527,3892,0.350719424,0.649280576,OH,Vinton County,19.2,46.3,25,9.6,GOP
82,39165,29921,64703,94624,0.316209418,0.683790582,OH,Warren County,7.1,26.1,25.8,41,GOP
83,39167,7059,15151,22210,0.317829806,0.682170194,OH,Washington County,9.8,41.3,30.5,18.4,GOP
84,39169,13184,24838,38022,0.34674662,0.65325338,OH,Wayne County,14.6,40.5,23.4,21.5,GOP
85,39171,3551,9203,12754,0.278422456,0.721577544,OH,Williams County,11.4,45,29.4,14.2,GOP
86,39173,22230,24687,46917,0.473815461,0.526184539,OH,Wood County,5.9,31.4,31,31.7,GOP
87,39175,2257,5478,7735,0.291790562,0.708209438,OH,Wyandot County,9.7,48,27.7,14.6,GOP
